  0%|                                                            | 0/4000 [00:00<?, ?it/s]/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                          
{'loss': 2.0312, 'grad_norm': 0.9915971576682252, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9375, 'grad_norm': 0.9924143133961711, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7578, 'grad_norm': 0.8471655765906427, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9062, 'grad_norm': 0.9461635825280656, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9844, 'grad_norm': 1.0128304401469583, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8516, 'grad_norm': 0.9763710749885101, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8594, 'grad_norm': 1.0031764127206453, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7266, 'grad_norm': 0.8863874312187963, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.875, 'grad_norm': 0.9329499774373707, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9453, 'grad_norm': 0.9815905714954826, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7656, 'grad_norm': 0.9305979654191102, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9297, 'grad_norm': 0.9686476130369535, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 2.0156, 'grad_norm': 0.9586123737494049, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8125, 'grad_norm': 0.9179292710925584, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8359, 'grad_norm': 0.9795656946807154, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.875, 'grad_norm': 0.9545547517926469, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7656, 'grad_norm': 0.8451165329974932, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7969, 'grad_norm': 0.966560103582747, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8828, 'grad_norm': 0.9445474855149306, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7578, 'grad_norm': 0.9258821971598644, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.7109, 'grad_norm': 0.8828362655816603, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.4922, 'grad_norm': 0.7608293084340703, 'learning_rate': 0.0002, 'epoch': 0.08}
